ABC,ABC XYZ Bucket,Country1,Country2,Month,prodHier1,prodHier2,prodHier3,prodHier4,prodHier5,prodHier6,prodHier7,prodHier8,prodHier9,State,Time Stamp,Updated brand,XYZ,Abs Error,Accuracy Calculation,Bias,Error,Historical Forecast,Quarter,sales contribution,salesValue,Updated Actual,Week,Year
B,BZ,,,June,India,South,Fabric Care,Liquid Detergent,Brand3,CESR3,HA01,HA01-CESR3,GT,Tamil Nadu,6/1/2022,Brand3,Z,2.083466291,,-1,-2.083466291,0,1,2.2,2.083466291,0,22,2022
A,AY,,,April,India,East,Hi,Coil,Brand4,LGHF2,HA01,HA01-LGHF2,GT,Assam,4/1/2022,Brand4,Y,8.437880128,0.759180996,-0.240819004,-8.437880128,26.6003851,1,32.06,35.03826523,35.03826523,13,2022
A,AY,,,May,India,East,Hi,Coil,Brand4,LGHF2,HA01,HA01-LGHF2,GT,Assam,5/1/2022,Brand4,Y,2.155834329,0.942220537,0.057779463,2.155834329,39.46726323,1,32.06,37.3114289,37.3114289,18,2022
A,AY,,,June,India,East,Hi,Coil,Brand4,LGHF2,HA01,HA01-LGHF2,GT,Assam,6/1/2022,Brand4,Y,9.746783376,0.765350033,0.234649967,9.746783376,51.28432763,1,32.06,41.53754425,41.53754425,22,2022
C,CY,,,April,USA,South East,Hi,Refill,Brand4,RF1R,HA01,HA01-RF1R,GT,Florida,4/1/2022,Brand4,Y,1.111567931,0.924671719,0.075328281,1.111567931,15.86788411,1,2.06,14.75631618,14.75631618,13,2022
C,CY,,,May,USA,South East,Hi,Refill,Brand4,RF1R,HA01,HA01-RF1R,GT,Florida,5/1/2022,Brand4,Y,8.478151997,0.297620870,0.702379130,8.478151997,20.5487726,1,2.06,12.0706206,12.0706206,18,2022
C,CY,,,June,USA,South East,Hi,Refill,Brand4,RF1R,HA01,HA01-RF1R,GT,Florida,6/1/2022,Brand4,Y,6.746606771,0.546593867,0.453406133,6.746606771,21.62643808,1,2.06,14.87983131,14.87983131,22,2022
A,AY,,,April,USA,west,Hi,Refill,Brand4,RF2R,HA01,HA01-RF2R,GT,Alaska,4/1/2022,Brand4,Y,38.69990863,0.785649964,0.214350036,38.69990863,219.2452882,1,32.06,180.5453796,180.5453796,13,2022
A,AY,,,May,USA,west,Hi,Refill,Brand4,RF2R,HA01,HA01-RF2R,GT,Alaska,5/1/2022,Brand4,Y,1.723523169,0.99,-0.01,-1.723523169,170.6287937,1,32.06,172.3523169,172.3523169,18,2022
A,AY,,,June,USA,west,Hi,Refill,Brand4,RF2R,HA01,HA01-RF2R,GT,Alaska,6/1/2022,Brand4,Y,49.7445984,0.747261052,0.252738948,49.7445984,246.5666504,1,32.06,196.822052,196.822052,22,2022
A,AY,,,April,USA,west,Hi,Refill,Brand4,RGATA,HA01,HA01-RGATA,GT,Arizona,4/1/2022,Brand4,Y,5.334575755,0.861056774,0.138943226,5.334575755,43.72850047,1,32.06,38.39392471,38.39392471,13,2022
A,AY,,,May,USA,west,Hi,Refill,Brand4,RGATA,HA01,HA01-RGATA,GT,Arizona,5/1/2022,Brand4,Y,21.79405792,0.485471412,0.514528588,21.79405792,64.15138932,1,32.06,42.3573314,42.3573314,18,2022
A,AY,,,June,USA,west,Hi,Refill,Brand4,RGATA,HA01,HA01-RGATA,GT,Arizona,6/1/2022,Brand4,Y,8.247019556,0.783105094,0.216894906,8.247019556,46.27013281,1,32.06,38.02311325,38.02311325,22,2022
A,AY,,,April,USA,South East,Hi,Aerosol,Brand5,SHAC2,HA01,HA01-SHAC2,GT,Georgia,4/1/2022,Brand5,Y,9.794849285,0.780286799,-0.219713201,-9.794849285,34.78530894,1,32.06,44.58015823,44.58015823,13,2022
A,AY,,,May,USA,South East,Hi,Aerosol,Brand5,SHAC2,HA01,HA01-SHAC2,GT,Georgia,5/1/2022,Brand5,Y,5.848398331,0.888172525,-0.111827475,-5.848398331,46.45000427,1,32.06,52.2984026,52.2984026,18,2022
A,AY,,,June,USA,South East,Hi,Aerosol,Brand5,SHAC2,HA01,HA01-SHAC2,GT,Georgia,6/1/2022,Brand5,Y,8.255573019,0.801460346,0.198539654,8.255573019,49.83705495,1,32.06,41.58148193,41.58148193,22,2022
B,BZ,,,April,USA,Mid West,Hi,Lmd,Brand4,UF1R,HA01,HA01-UF1R,GT,Ohio,4/1/2022,Brand4,Z,23.83391762,,-1,-23.83391762,0,1,2.2,23.83391762,0,13,2022
B,BZ,,,May,USA,Mid West,Hi,Lmd,Brand4,UF1R,HA01,HA01-UF1R,GT,Ohio,5/1/2022,Brand4,Z,1.716578853,0.904757831,0.095242169,1.716578853,19.73988595,1,2.2,18.0233071,18.0233071,18,2022
B,BZ,,,June,USA,Mid West,Hi,Lmd,Brand4,UF1R,HA01,HA01-UF1R,GT,Ohio,6/1/2022,Brand4,Z,13.8672474,0.234502393,0.765497607,13.8672474,31.98258477,1,2.2,18.11533737,18.11533737,22,2022
A,AY,,,April,India,East,Personal Wash,Soap,Brand1,AGNA1H,HA02,HA02-AGNA1H,GT,Sikkim,4/1/2022,Brand1,Y,9.167814397,0.845524786,-0.154475214,-9.167814397,50.18031106,1,32.06,59.34812546,59.34812546,13,2022
A,AY,,,May,India,East,Personal Wash,Soap,Brand1,AGNA1H,HA02,HA02-AGNA1H,GT,Sikkim,5/1/2022,Brand1,Y,21.23052841,0.748851501,-0.251148499,-21.23052841,63.30323759,1,32.06,84.533766,84.533766,18,2022
A,AY,,,June,India,East,Personal Wash,Soap,Brand1,AGNA1H,HA02,HA02-AGNA1H,GT,Sikkim,6/1/2022,Brand1,Y,22.02518361,0.754556269,-0.245443731,-22.02518361,67.71099956,1,32.06,89.73618317,89.73618317,22,2022
A,AX,,,April,USA,North East,Personal Wash,Soap,Brand1,AGNA57S,HA02,HA02-AGNA57S,GT,New Jersey,4/1/2022,Brand1,X,3.250055405,0.930242586,0.069757414,3.250055405,49.84087953,1,42.96,46.59082413,46.59082413,13,2022
A,AX,,,May,USA,North East,Personal Wash,Soap,Brand1,AGNA57S,HA02,HA02-AGNA57S,GT,New Jersey,5/1/2022,Brand1,X,8.872846748,0.866220605,-0.133779395,-8.872846748,57.45161775,1,42.96,66.3244645,66.3244645,18,2022
A,AX,,,June,USA,North East,Personal Wash,Soap,Brand1,AGNA57S,HA02,HA02-AGNA57S,GT,New Jersey,6/1/2022,Brand1,X,9.679273907,0.827597444,0.172402556,9.679273907,65.82272179,1,42.96,56.14344788,56.14344788,22,2022
B,BX,,,April,India,South,Personal Wash,Soap,Brand1,AGNS57S,HA02,HA02-AGNS57S,GT,Tamil Nadu,4/1/2022,Brand1,X,6.772159592,0.828848871,0.171151129,6.772159592,46.34046174,1,5.99,39.56830215,39.56830215,13,2022
B,BX,,,May,India,South,Personal Wash,Soap,Brand1,AGNS57S,HA02,HA02-AGNS57S,GT,Tamil Nadu,5/1/2022,Brand1,X,14.61508782,0.720206853,-0.279793147,-14.61508782,37.62024388,1,5.99,52.2353317,52.2353317,18,2022
B,BX,,,June,India,South,Personal Wash,Soap,Brand1,AGNS57S,HA02,HA02-AGNS57S,GT,Tamil Nadu,6/1/2022,Brand1,X,7.863357784,0.830790616,-0.169209384,-7.863357784,38.60781074,1,5.99,46.47116852,46.47116852,22,2022
A,AY,,,April,India,west,Personal Wash,Soap,Brand1,AGNSCH,HA02,HA02-AGNSCH,GT,Maharastra,4/1/2022,Brand1,Y,2.563913345,0.952054534,-0.047945466,-2.563913345,50.91170311,1,32.06,53.47561646,53.47561646,13,2022
A,AY,,,May,India,west,Personal Wash,Soap,Brand1,AGNSCH,HA02,HA02-AGNSCH,GT,Maharastra,5/1/2022,Brand1,Y,5.374806264,0.925120137,-0.074879863,-5.374806264,66.40425524,1,32.06,71.7790615,71.7790615,18,2022
A,AY,,,June,India,west,Personal Wash,Soap,Brand1,AGNSCH,HA02,HA02-AGNSCH,GT,Maharastra,6/1/2022,Brand1,Y,25.28420661,0.700210118,-0.299789882,-25.28420661,59.05555322,1,32.06,84.33975983,84.33975983,22,2022
A,AX,,,April,India,west,Hair Color,Creme,Brand2,BMBB2T,HA02,HA02-BMBB2T,GT,Goa,4/1/2022,Brand2,X,9.278460989,0.888908864,-0.111091136,-9.278460989,74.24270295,1,42.96,83.52116394,83.52116394,13,2022
A,AX,,,May,India,west,Hair Color,Creme,Brand2,BMBB2T,HA02,HA02-BMBB2T,GT,Goa,5/1/2022,Brand2,X,33.10034332,0.728621305,-0.271378695,-33.10034332,88.87070258,1,42.96,121.9710459,121.9710459,18,2022
A,AX,,,June,India,west,Hair Color,Creme,Brand2,BMBB2T,HA02,HA02-BMBB2T,GT,Goa,6/1/2022,Brand2,X,3.81815096,0.962164281,-0.037835719,-3.81815096,97.09577424,1,42.96,100.9139252,100.9139252,22,2022
A,AY,,,April,India,South,Hair Color,Powder,Brand2,BPSK9,HA02,HA02-BPSK9,GT,Tamil Nadu,4/1/2022,Brand2,Y,1.001984211,0.99,-0.01,-1.001984211,99.19643689,1,32.06,100.1984211,100.1984211,13,2022
A,AY,,,May,India,South,Hair Color,Powder,Brand2,BPSK9,HA02,HA02-BPSK9,GT,Tamil Nadu,5/1/2022,Brand2,Y,13.3719272,0.897611310,0.102388690,13.3719272,143.9715789,1,32.06,130.5996517,130.5996517,18,2022
A,AY,,,June,India,South,Hair Color,Powder,Brand2,BPSK9,HA02,HA02-BPSK9,GT,Tamil Nadu,6/1/2022,Brand2,Y,2.321203003,0.99,-0.01,-2.321203003,229.7990973,1,32.06,232.1203003,232.1203003,22,2022
B,BZ,,,April,India,North,Fabric Care,Liquid Detergent,Brand3,CEBR1,HA02,HA02-CEBR1,GT,Delhi,4/1/2022,Brand3,Z,0.442811301,0.790737929,0.209262071,0.442811301,2.558872273,1,2.2,2.116060972,2.116060972,13,2022
B,BZ,,,May,India,North,Fabric Care,Liquid Detergent,Brand3,CEBR1,HA02,HA02-CEBR1,GT,Delhi,5/1/2022,Brand3,Z,0.140686343,0.944405572,-0.055594428,-0.140686343,2.389897157,1,2.2,2.5305835,2.5305835,18,2022
B,BZ,,,June,India,North,Fabric Care,Liquid Detergent,Brand3,CEBR1,HA02,HA02-CEBR1,GT,Delhi,6/1/2022,Brand3,Z,0.287837171,0.894576657,-0.105423343,-0.287837171,2.44246111,1,2.2,2.730298281,2.730298281,22,2022
B,BZ,,,April,USA,west,Fabric Care,Liquid Detergent,Brand3,CEPR4,HA02,HA02-CEPR4,GT,Arizona,4/1/2022,Brand3,Z,3.93798767,-0.898478003,1.898478003,3.93798767,6.012274369,1,2.2,2.074286699,2.074286699,13,2022
B,BZ,,,May,USA,west,Fabric Care,Liquid Detergent,Brand3,CEPR4,HA02,HA02-CEPR4,GT,Arizona,5/1/2022,Brand3,Z,0.734833955,0.397506709,0.602493291,0.734833955,1.954488955,1,2.2,1.219655,1.219655,18,2022
B,BZ,,,June,USA,west,Fabric Care,Liquid Detergent,Brand3,CEPR4,HA02,HA02-CEPR4,GT,Arizona,6/1/2022,Brand3,Z,1.342435749,0.080185370,0.919814630,1.342435749,2.801899107,1,2.2,1.459463358,1.459463358,22,2022
B,BZ,,,April,India,East,Fabric Care,Liquid Detergent,Brand3,CESR3,HA02,HA02-CESR3,GT,Arunachal Pradesh,4/1/2022,Brand3,Z,0.111159771,0.899707251,0.100292749,0.111159771,1.21951279,1,2.2,1.108353019,1.108353019,13,2022
B,BZ,,,May,India,East,Fabric Care,Liquid Detergent,Brand3,CESR3,HA02,HA02-CESR3,GT,Arunachal Pradesh,5/1/2022,Brand3,Z,0.247767385,0.715344672,-0.284655328,-0.247767385,0.622644515,1,2.2,0.8704119,0.8704119,18,2022
B,BZ,,,June,India,East,Fabric Care,Liquid Detergent,Brand3,CESR3,HA02,HA02-CESR3,GT,Arunachal Pradesh,6/1/2022,Brand3,Z,0.370839275,0.608715369,-0.391284631,-0.370839275,0.57690885,1,2.2,0.947748125,0.947748125,22,2022
A,AY,,,April,India,South,Hi,Coil,Brand4,LGHF2,HA02,HA02-LGHF2,GT,Karnataka,4/1/2022,Brand4,Y,0.470311809,0.990621537,-0.009378463,-0.470311809,49.67775948,1,32.06,50.14807129,50.14807129,13,2022
A,AY,,,May,India,South,Hi,Coil,Brand4,LGHF2,HA02,HA02-LGHF2,GT,Karnataka,5/1/2022,Brand4,Y,5.310791153,0.898733987,0.101266013,5.310791153,57.75475515,1,32.06,52.443964,52.443964,18,2022
A,AY,,,June,India,South,Hi,Coil,Brand4,LGHF2,HA02,HA02-LGHF2,GT,Karnataka,6/1/2022,Brand4,Y,0.751650925,0.990000000,-0.010000000,-0.751650925,74.41344155,1,32.06,75.16509247,75.16509247,22,2022
B,BX,,,April,USA,South East,Hi,Refill,Brand4,RF1R,HA02,HA02-RF1R,GT,Georgia,4/1/2022,Brand4,X,9.823455679,0.599562210,0.400437790,9.823455679,34.35524546,1,5.99,24.53178978,24.53178978,13,2022
B,BX,,,May,USA,South East,Hi,Refill,Brand4,RF1R,HA02,HA02-RF1R,GT,Georgia,5/1/2022,Brand4,X,7.419395366,0.747198670,0.252801330,7.419395366,36.76811507,1,5.99,29.3487197,29.3487197,18,2022
B,BX,,,June,USA,South East,Hi,Refill,Brand4,RF1R,HA02,HA02-RF1R,GT,Georgia,6/1/2022,Brand4,X,0.034572024,0.998980661,0.001019339,0.034572024,33.95068301,1,5.99,33.91611099,33.91611099,22,2022
A,AY,,,April,India,west,Hi,Refill,Brand4,RF2R,HA02,HA02-RF2R,GT,Maharastra,4/1/2022,Brand4,Y,2.347865295,0.99,-0.01,-2.347865295,232.4386642,1,32.06,234.7865295,234.7865295,13,2022
A,AY,,,May,India,west,Hi,Refill,Brand4,RF2R,HA02,HA02-RF2R,GT,Maharastra,5/1/2022,Brand4,Y,33.37458156,0.878392492,0.121607508,33.37458156,307.8196556,1,32.06,274.445074,274.445074,18,2022
A,AY,,,June,India,west,Hi,Refill,Brand4,RF2R,HA02,HA02-RF2R,GT,Maharastra,6/1/2022,Brand4,Y,2.836585693,0.99,-0.01,-2.836585693,280.8219836,1,32.06,283.6585693,283.6585693,22,2022
A,AZ,,,April,India,East,Hi,Refill,Brand4,RGATA,HA02,HA02-RGATA,GT,Assam,4/1/2022,Brand4,Z,22.64553542,-1.335693578,-0.700212272,-22.64553542,9.695422222,1,4.9,32.34095764,9.695422222,13,2022
A,AZ,,,May,India,East,Hi,Refill,Brand4,RGATA,HA02,HA02-RGATA,GT,Assam,5/1/2022,Brand4,Z,2.160464121,0.910988106,-0.089011894,-2.160464121,22.11116998,1,4.9,24.2716341,24.2716341,18,2022
A,AZ,,,June,India,East,Hi,Refill,Brand4,RGATA,HA02,HA02-RGATA,GT,Assam,6/1/2022,Brand4,Z,3.782650071,0.840370018,0.159629982,3.782650071,27.47901352,1,4.9,23.69636345,23.69636345,22,2022
A,AY,,,April,India,North,Hi,Aerosol,Brand5,SHAC2,HA02,HA02-SHAC2,GT,Delhi,4/1/2022,Brand5,Y,10.54897664,0.754721788,-0.245278212,-10.54897664,32.45923259,1,32.06,43.00820923,43.00820923,13,2022
A,AY,,,May,India,North,Hi,Aerosol,Brand5,SHAC2,HA02,HA02-SHAC2,GT,Delhi,5/1/2022,Brand5,Y,9.72168192,0.849957907,-0.150042093,-9.72168192,55.07134858,1,32.06,64.7930305,64.7930305,18,2022
A,AY,,,June,India,North,Hi,Aerosol,Brand5,SHAC2,HA02,HA02-SHAC2,GT,Delhi,6/1/2022,Brand5,Y,16.93526206,0.664076345,0.335923655,16.93526206,67.3492826,1,32.06,50.41402054,50.41402054,22,2022
A,AY,,,April,USA,North East,Hi,Lmd,Brand4,UF1R,HA02,HA02-UF1R,GT,New York,4/1/2022,Brand4,Y,44.69789886,,-1,-44.69789886,0,1,32.06,44.69789886,0,13,2022
A,AY,,,May,USA,North East,Hi,Lmd,Brand4,UF1R,HA02,HA02-UF1R,GT,New York,5/1/2022,Brand4,Y,38.4549782,,-1,-38.4549782,0,1,32.06,38.4549782,0,18,2022
A,AY,,,June,USA,North East,Hi,Lmd,Brand4,UF1R,HA02,HA02-UF1R,GT,New York,6/1/2022,Brand4,Y,6.19057224,0.860315167,-0.139684833,-6.19057224,38.1275697,1,32.06,44.31814194,44.31814194,22,2022
A,AY,,,April,India,East,Personal Wash,Soap,Brand6,ACLH6,HA04,HA04-ACLH6,GT,Sikkim,4/1/2022,Brand6,Y,13.21615154,0.700753181,-0.299246819,-13.21615154,30.94856709,1,32.06,44.16471863,44.16471863,13,2022
A,AY,,,May,India,East,Personal Wash,Soap,Brand6,ACLH6,HA04,HA04-ACLH6,GT,Sikkim,5/1/2022,Brand6,Y,13.27068573,0.741899646,-0.258100354,-13.27068573,38.14608107,1,32.06,51.4167668,51.4167668,18,2022
A,AY,,,June,India,East,Personal Wash,Soap,Brand6,ACLH6,HA04,HA04-ACLH6,GT,Sikkim,6/1/2022,Brand6,Y,15.95505201,0.708414901,-0.291585099,-15.95505201,38.763286,1,32.06,54.71833801,54.71833801,22,2022
B,BZ,,,April,India,East,Personal Wash,Soap,Brand1,AGNA1H,HA04,HA04-AGNA1H,GT,Arunachal Pradesh,4/1/2022,Brand1,Z,4.394051523,0.804497018,0.195502982,4.394051523,26.8696756,1,2.2,22.47562408,22.47562408,13,2022
B,BZ,,,May,India,East,Personal Wash,Soap,Brand1,AGNA1H,HA04,HA04-AGNA1H,GT,Arunachal Pradesh,5/1/2022,Brand1,Z,49.74346253,-0.875051969,-0.652180200,-49.74346253,26.52911138,1,2.2,76.2725739,26.52911138,18,2022
B,BZ,,,June,India,East,Personal Wash,Soap,Brand1,AGNA1H,HA04,HA04-AGNA1H,GT,Arunachal Pradesh,6/1/2022,Brand1,Z,8.453938156,0.740219785,0.259780215,8.453938156,40.9965941,1,2.2,32.54265594,32.54265594,22,2022
A,AY,,,April,USA,Mid West,Personal Wash,Soap,Brand1,AGNA4,HA04,HA04-AGNA4,GT,Michigan,4/1/2022,Brand1,Y,8.47804808,0.575922841,0.424077159,8.47804808,28.46980643,1,32.06,19.99175835,19.99175835,13,2022
A,AY,,,May,USA,Mid West,Personal Wash,Soap,Brand1,AGNA4,HA04,HA04-AGNA4,GT,Michigan,5/1/2022,Brand1,Y,2.105959009,0.934594512,0.065405488,2.105959009,34.30446511,1,32.06,32.1985061,32.1985061,18,2022
A,AY,,,June,USA,Mid West,Personal Wash,Soap,Brand1,AGNA4,HA04,HA04-AGNA4,GT,Michigan,6/1/2022,Brand1,Y,8.320039225,0.771205640,-0.228794360,-8.320039225,28.0446649,1,32.06,36.36470413,36.36470413,22,2022
A,AY,,,April,USA,South West,Hair Color,Creme,Brand2,BMBB2T,HA04,HA04-BMBB2T,GT,New Mexico,4/1/2022,Brand2,Y,24.38747853,0.254251588,0.745748412,24.38747853,57.08949727,1,32.06,32.70201874,32.70201874,13,2022
A,AY,,,May,USA,South West,Hair Color,Creme,Brand2,BMBB2T,HA04,HA04-BMBB2T,GT,New Mexico,5/1/2022,Brand2,Y,27.01203508,0.692719494,-0.307280506,-27.01203508,60.89472932,1,32.06,87.9067644,87.9067644,18,2022
A,AY,,,June,USA,South West,Hair Color,Creme,Brand2,BMBB2T,HA04,HA04-BMBB2T,GT,New Mexico,6/1/2022,Brand2,Y,18.55359075,0.756116062,-0.243883938,-18.55359075,57.52190211,1,32.06,76.07549286,76.07549286,22,2022
A,AY,,,April,USA,west,Hair Color,Powder,Brand2,BPSK9,HA04,HA04-BPSK9,GT,Colorado,4/1/2022,Brand2,Y,10.82179876,0.883299991,0.116700009,10.82179876,103.5535721,1,32.06,92.73177338,92.73177338,13,2022
A,AY,,,May,USA,west,Hair Color,Powder,Brand2,BPSK9,HA04,HA04-BPSK9,GT,Colorado,5/1/2022,Brand2,Y,34.00137445,0.796521166,-0.203478834,-34.00137445,133.0989266,1,32.06,167.100301,167.100301,18,2022
A,AY,,,June,USA,west,Hair Color,Powder,Brand2,BPSK9,HA04,HA04-BPSK9,GT,Colorado,6/1/2022,Brand2,Y,26.81094288,0.846194776,-0.153805224,-26.81094288,147.506562,1,32.06,174.3175049,174.3175049,22,2022
B,BZ,,,April,USA,South West,Fabric Care,Liquid Detergent,Brand3,CEBR1,HA04,HA04-CEBR1,GT,Oklahoma,4/1/2022,Brand3,Z,3.906060704,-0.642627079,1.642627079,3.906060704,6.283995875,1,2.2,2.377935171,2.377935171,13,2022
B,BZ,,,May,USA,South West,Fabric Care,Liquid Detergent,Brand3,CEBR1,HA04,HA04-CEBR1,GT,Oklahoma,5/1/2022,Brand3,Z,3.194248219,-0.149350119,1.149350119,3.194248219,5.973425919,1,2.2,2.7791777,2.7791777,18,2022
